Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Justin Bruihl,1,47.0,us US,Pitcher,*,NULL,28,L,L,"6' 2""",215,Jun 26 1997,2016,bruihju01
Tink Hence,2,30.0,us US,Pitcher,*,NULL,22,R,R,"6' 1""",195,Aug 6 2002,2021,redirect.fcgi?player=1&mlb_ID=693311
Matt Svanson,3,49.0,us US,Pitcher,*,NULL,26,R,R,"6' 5""",235,Jan 31 1999,2018,svansma01
Tekoah Roby,4,38.0,us US,Pitcher,*,NULL,23,R,R,"6' 1""",210,Sep 18 2001,2021,redirect.fcgi?player=1&mlb_ID=694358
Hunter Dobbins,5,40.0,us US,Pitcher,*,NULL,25,R,R,"6' 2""",185,Aug 30 1999,2019,dobbihu01
Richard Fitts,6,35.0,us US,Pitcher,*,NULL,25,R,R,"6' 3""",230,Dec 17 1999,2019,fittsri01
Matt Pushard,7,67.0,us US,Pitcher,*,NULL,27,R,R,"6' 4""",250,Oct 27 1997,2017,redirect.fcgi?player=1&mlb_ID=690155
Chris Roycroft,8,58.0,us US,Pitcher,*,NULL,28,R,R,"6' 8""",230,Jun 21 1997,2016,roycrch01
Ryne Stanek,9,55.0,us US,Pitcher,*,NULL,33,R,R,"6' 4""",226,Jul 26 1991,2011,stanery01
Cooper Hjerpe,10,56.0,us US,Pitcher,*,NULL,24,L,L,"6' 3""",200,Mar 16 2001,2020,redirect.fcgi?player=1&mlb_ID=687309
Ryan Fernandez,11,64.0,us US,Pitcher,*,NULL,27,R,R,"6' 0""",200,Jun 11 1998,2017,fernary01
Kyle Leahy,12,62.0,us US,Pitcher,*,NULL,28,S,R,"6' 5""",225,Jun 4 1997,2016,leahyky01
Riley O'Brien,13,61.0,us US,Pitcher,*,NULL,30,R,R,"6' 4""",180,Feb 6 1995,2014,obrieri01
Nick Raquet,14,70.0,us US,Pitcher,*,NULL,29,R,L,"6' 0""",215,Dec 12 1995,2015,raqueni01
Andre Pallante,15,53.0,us US,Pitcher,*,NULL,26,R,R,"6' 0""",215,Sep 18 1998,2017,pallaan01
Matthew Liberatore,16,32.0,us US,Pitcher,*,NULL,25,L,L,"6' 4""",215,Nov 6 1999,2018,liberma01
Michael McGreevy,17,36.0,us US,Pitcher,*,NULL,24,L,R,"6' 4""",220,Jul 8 2000,2019,mcgremi01
Dustin May,18,3.0,us US,Pitcher,*,NULL,27,R,R,"6' 6""",180,Sep 6 1997,2016,maydu01
JoJo Romero,19,59.0,us US,Pitcher,*,NULL,28,L,L,"5' 11""",215,Sep 9 1996,2015,romerjo01
Gordon Graceffo,20,44.0,us US,Pitcher,*,NULL,25,R,R,"6' 4""",220,Mar 17 2000,2019,gracego01
