Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Wade Boggs*,30,BOS,AL,8.3,155,719,584,128,214,45,6,5,58,2,3,125,34,0.366,0.476,0.49,0.965,168,0.437,175,286,23,3,0,7,18,*5/DH,ASMVP-6SS,boggswa01
2,José Canseco,23,OAK,AL,7.3,158,705,610,120,187,34,0,42,124,40,16,78,128,0.307,0.391,0.569,0.959,170,0.431,173,347,15,10,1,6,10,*9D/H,ASMVP-1SS,cansejo01
3,Tony Fernández#,26,TOR,AL,4.4,154,704,648,76,186,41,4,5,70,15,5,45,65,0.287,0.335,0.386,0.721,102,0.335,102,250,9,4,3,4,3,*6,MVP-26GG,fernato01
4,Robin Yount,32,MIL,AL,5.7,162,696,621,92,190,38,11,13,91,22,4,63,63,0.306,0.369,0.465,0.834,132,0.383,133,289,21,3,2,7,10,*8/D,MVP-11,yountro01
5,Mike Greenwell*,24,BOS,AL,7.5,158,693,590,86,192,39,8,22,119,16,8,87,38,0.325,0.416,0.531,0.946,160,0.418,160,313,11,9,0,7,18,*7D/9,ASMVP-2SS,greenmi01
6,Paul Molitor,31,MIL,AL,5.2,154,691,609,115,190,34,6,13,60,41,10,71,54,0.312,0.384,0.452,0.836,133,0.385,133,275,10,2,5,3,8,5D/4,ASMVP-8SS,molitpa01
7,Kirby Puckett,28,MIN,AL,7.8,158,691,657,109,234,42,5,24,121,6,7,23,83,0.356,0.375,0.545,0.92,153,0.409,156,358,17,2,0,9,4,*8/H,ASMVP-3GGSS,puckeki01
8,Will Clark*,24,SFG,NL,6.7,162,689,575,102,162,31,6,29,109,9,1,100,129,0.282,0.386,0.508,0.894,160,0.398,160,292,9,4,0,10,27,*3/H,ASMVP-5,clarkwi02
9,Cal Ripken Jr.,27,BAL,AL,5.8,161,689,575,87,152,25,1,23,81,2,2,102,69,0.264,0.372,0.431,0.803,128,0.376,136,248,10,2,0,10,7,*6,AS,ripkeca01
10,Marty Barrett,30,BOS,AL,0.7,150,687,612,83,173,28,1,1,65,7,3,40,35,0.283,0.33,0.337,0.666,85,0.316,85,206,16,7,20,8,1,*4/H,,barrema02
11,Steve Sax,28,LAD,NL,2.1,160,687,632,70,175,19,4,5,57,42,12,45,51,0.277,0.325,0.343,0.668,95,0.321,94,217,11,1,7,2,6,*4/H,MVP-18,saxst01
12,Juan Samuel,27,PHI,NL,-0.2,157,685,629,68,153,32,9,12,67,33,10,39,151,0.243,0.298,0.38,0.678,93,0.32,92,239,8,12,0,5,6,*4/8H59,,samueju01
13,Bobby Bonilla#,25,PIT,NL,5.1,159,681,584,87,160,32,7,24,100,3,5,85,82,0.274,0.366,0.476,0.842,143,0.372,141,278,4,4,0,8,19,*5,ASMVP-14SS,bonilbo01
14,George Brett*,35,KCR,AL,5.2,157,681,589,90,180,42,3,24,103,14,3,82,51,0.306,0.389,0.509,0.898,149,0.404,151,300,15,3,0,7,15,*3D/6,ASMVP-12SS,brettge01
15,Eddie Murray#,32,BAL,AL,3.2,161,681,603,75,171,27,2,28,84,5,2,75,78,0.284,0.361,0.474,0.836,136,0.374,134,286,20,0,0,3,8,3D,,murraed02
16,Brett Butler*,31,SFG,NL,6.8,157,679,568,109,163,27,9,6,43,43,20,97,64,0.287,0.393,0.398,0.791,133,0.376,143,226,2,4,8,2,4,*8/H,MVP-17,butlebr01
17,Vince Coleman#,26,STL,NL,0.8,153,679,616,77,160,20,10,3,38,81,27,49,111,0.26,0.313,0.339,0.652,87,0.322,88,209,4,1,8,5,4,*78/H,AS,colemvi01
18,Ryne Sandberg,28,CHC,NL,4.7,155,679,618,77,163,23,8,19,69,25,10,54,91,0.264,0.322,0.419,0.741,108,0.348,112,259,14,1,1,5,3,*4/H,ASGGSS,sandbry01
19,Julio Franco,29,CLE,AL,2.3,152,676,613,88,186,23,6,10,54,25,11,56,72,0.303,0.361,0.409,0.771,114,0.353,113,251,17,2,1,4,4,*4/D,MVP-25SS,francju01
20,Harold Baines*,29,CHW,AL,1.3,158,674,599,55,166,39,1,13,81,0,0,67,109,0.277,0.347,0.411,0.758,112,0.349,113,246,21,1,0,7,14,*D9/H,,baineha01
21,Dale Murphy,32,ATL,NL,3.1,156,671,592,77,134,35,4,24,77,3,5,74,125,0.226,0.313,0.421,0.734,106,0.334,106,249,24,2,0,3,16,*9/H,,murphda05
22,Joe Carter,28,CLE,AL,3.2,157,670,621,85,168,36,6,27,98,27,5,35,82,0.271,0.314,0.478,0.792,117,0.359,114,297,6,7,1,6,6,*8/H,MVP-20,cartejo01
23,Ozzie Smith#,33,STL,NL,6.6,153,669,575,80,155,27,1,3,51,57,9,74,43,0.27,0.35,0.336,0.686,98,0.342,101,193,7,1,12,7,2,*6/H,ASGG,smithoz01
24,Tom Brunansky,27,2TM,2LG,0.9,157,669,572,74,137,23,4,23,85,17,8,86,93,0.24,0.34,0.414,0.754,115,0.352,119,237,17,4,1,6,6,*9/7D,,brunato01
25,José Lind,24,PIT,NL,3.5,154,668,611,82,160,24,4,2,49,15,4,42,75,0.262,0.308,0.324,0.632,84,0.313,92,198,11,0,12,3,0,*4/H,,lindjo01
26,Rubén Sierra#,22,TEX,AL,2.4,156,668,615,77,156,32,2,23,91,18,4,44,91,0.254,0.301,0.424,0.725,100,0.326,92,261,15,1,0,8,10,*9/HD,,sierrru01
27,Chili Davis#,28,CAL,AL,0.3,158,667,600,81,161,29,3,21,93,9,10,56,118,0.268,0.326,0.432,0.757,114,0.337,111,259,13,0,1,10,14,*9/8DH,,davisch01
28,Wally Joyner*,26,CAL,AL,3.2,158,663,597,81,176,31,2,13,85,8,2,55,51,0.295,0.356,0.419,0.775,120,0.35,116,250,16,5,0,6,14,*3/H,,joynewa01
29,Harold Reynolds#,27,SEA,AL,1.8,158,663,598,61,169,26,11,4,41,35,29,51,51,0.283,0.34,0.383,0.723,100,0.325,99,229,9,2,10,2,1,*4,ASGG,reynoha01
30,Andrés Galarraga,27,MON,NL,5.7,157,661,609,99,184,42,8,29,92,13,4,39,153,0.302,0.352,0.54,0.893,150,0.405,156,329,12,10,0,3,9,*3/H,ASMVP-7SS,galaran01
31,Andy Van Slyke*,27,PIT,NL,6.4,154,660,587,101,169,23,15,25,100,30,9,57,126,0.288,0.345,0.506,0.851,144,0.379,140,297,8,1,1,13,2,*8/H,ASMVP-4GGSS,vanslan01
32,Johnny Ray#,31,CAL,AL,2.5,153,659,602,75,184,42,7,6,83,4,1,36,38,0.306,0.345,0.429,0.773,119,0.352,118,258,10,4,9,8,2,47/DH,AS,rayjo01
33,George Bell,28,TOR,AL,0.8,156,658,614,78,165,27,5,24,97,4,2,34,66,0.269,0.304,0.446,0.751,108,0.337,105,274,21,1,0,8,5,*7/DH,,bellge02
34,Gerald Young#,23,HOU,NL,1.7,149,655,576,79,148,21,9,0,37,65,27,66,66,0.257,0.334,0.325,0.658,94,0.321,98,187,10,3,5,5,1,*8/H,,youngge02
35,Barry Larkin,24,CIN,NL,7,151,652,588,91,174,32,5,12,56,40,7,41,24,0.296,0.347,0.429,0.776,119,0.371,123,252,7,8,10,5,3,*6/H,ASSS,larkiba01
36,Don Mattingly*,27,NYY,AL,3.7,144,651,599,94,186,37,0,18,88,1,0,41,29,0.311,0.353,0.462,0.816,128,0.366,127,277,13,3,0,8,14,*3/7DH,ASGG,mattido01
37,Phil Bradley,29,PHI,NL,2.3,154,649,569,77,150,30,5,11,56,11,9,54,106,0.264,0.341,0.392,0.733,110,0.336,110,223,11,16,3,6,0,*7/8H9,,bradlph01
38,Rickey Henderson,29,NYY,AL,6.3,140,647,554,118,169,30,2,6,50,93,13,82,54,0.305,0.394,0.399,0.793,124,0.408,137,221,6,3,2,6,1,*7/8DH,ASMVP-18,henderi01
39,Dwight Evans,36,BOS,AL,3.2,149,645,559,96,164,31,7,21,111,5,1,76,99,0.293,0.375,0.487,0.861,136,0.389,137,272,16,1,2,7,3,93/DH8,MVP-9,evansdw01
40,Kevin Seitzer,26,KCR,AL,4.3,149,643,559,90,170,32,5,5,60,10,8,72,64,0.304,0.388,0.406,0.794,122,0.369,128,227,15,6,3,3,4,*5/7DH,,seitzke01
41,Andre Dawson,33,CHC,NL,4.9,157,640,591,78,179,31,8,24,79,12,4,37,73,0.303,0.344,0.504,0.849,137,0.391,145,298,13,4,1,7,12,*9H,ASMVP-15GG,dawsoan01
42,Darryl Strawberry*,26,NYM,NL,5.4,153,640,543,101,146,27,3,39,101,29,14,85,127,0.269,0.366,0.545,0.911,165,0.401,164,296,6,3,0,9,21,*9/H,ASMVP-2SS,strawda01
43,Tim Wallach,30,MON,NL,2.7,159,640,592,52,152,32,5,12,69,2,6,38,88,0.257,0.302,0.389,0.69,94,0.309,88,230,19,3,0,7,7,*5/H4,GG,wallati01
44,Mark McGwire,24,OAK,AL,2.7,155,635,550,87,143,22,1,32,99,0,0,76,117,0.26,0.352,0.478,0.83,134,0.37,131,263,15,4,1,4,4,*3/H9,ASMVP-19,mcgwima01
45,Glenn Davis,27,HOU,NL,4.3,152,634,561,78,152,26,0,30,99,4,3,53,77,0.271,0.341,0.478,0.818,138,0.366,138,268,11,11,0,9,20,*3/H,MVP-8,davisgl01
46,Dan Gladden,30,MIN,AL,3.5,141,633,576,91,155,32,6,11,62,28,8,46,74,0.269,0.325,0.403,0.728,102,0.341,102,232,9,4,2,5,4,*7/H145,,gladdda01
47,Kirk Gibson*,31,LAD,NL,6.5,150,632,542,106,157,28,1,25,76,31,4,73,120,0.29,0.377,0.483,0.86,148,0.398,151,262,8,7,3,7,14,*7/H8,MVP-1SS,gibsoki01
48,Dave Winfield,36,NYY,AL,5.4,149,631,559,96,180,37,2,25,107,9,4,69,88,0.322,0.398,0.53,0.927,159,0.417,163,296,19,2,0,1,10,*9/DH,ASMVP-4,winfida01
49,Rafael Palmeiro*,23,CHC,NL,2.3,152,629,580,75,178,41,5,8,53,12,2,38,34,0.307,0.349,0.436,0.785,121,0.361,121,253,11,3,2,6,6,*7/3H98,AS,palmera01
50,Hubie Brooks,31,MON,NL,2.6,151,628,588,61,164,35,2,20,90,7,3,35,108,0.279,0.318,0.447,0.766,115,0.352,117,263,21,1,0,4,3,*9/H,,brookhu01
51,Pete O'Brien*,30,TEX,AL,3.1,156,628,547,57,149,24,1,16,71,1,4,72,73,0.272,0.352,0.408,0.76,111,0.34,107,223,12,0,1,8,9,*3/HD,,o'bripe03
52,Willie Wilson#,32,KCR,AL,0.3,147,628,591,81,155,17,11,1,37,35,7,22,106,0.262,0.289,0.333,0.622,74,0.295,67,197,5,2,8,5,1,*8/H,,wilsowi02
53,Andrés Thomas,24,ATL,NL,-1.7,153,627,606,54,153,22,2,13,68,7,3,14,95,0.252,0.268,0.36,0.628,76,0.285,67,218,17,1,0,6,6,*6/H,,thomaan01
54,Kelly Gruber,26,TOR,AL,5.2,158,623,569,75,158,33,5,16,81,23,5,38,92,0.278,0.328,0.438,0.766,113,0.355,114,249,20,7,5,4,1,*5/4H86D,,grubeke01
55,Fred McGriff*,24,TOR,AL,6.2,154,623,536,100,151,35,4,34,82,6,1,79,149,0.282,0.376,0.552,0.928,157,0.41,156,296,15,4,0,4,3,*3/H,MVP-17,mcgrifr01
56,Vance Law,31,CHC,NL,2.2,151,621,556,73,163,29,2,11,78,1,4,55,79,0.293,0.358,0.412,0.77,117,0.364,128,229,15,3,4,3,4,*5/7H,AS,lawva01
57,Ron Gant,23,ATL,NL,2.1,146,618,563,85,146,28,8,19,60,19,10,46,118,0.259,0.317,0.439,0.755,112,0.347,114,247,7,3,2,4,4,*45/H,ROY-4,gantro01
58,Jack Clark,32,NYY,AL,2.8,150,616,496,81,120,14,0,27,93,3,2,113,141,0.242,0.381,0.433,0.815,130,0.376,134,215,14,2,0,5,6,*D9H3/7,,clarkja01
59,Ellis Burks,23,BOS,AL,5.3,144,615,540,93,159,37,5,18,92,25,9,62,89,0.294,0.367,0.481,0.848,132,0.391,137,260,8,3,4,6,1,*8/HD,,burksel01
60,Barry Bonds*,23,PIT,NL,6.3,144,614,538,97,152,30,5,24,58,17,11,72,82,0.283,0.368,0.491,0.859,148,0.387,152,264,3,2,0,2,14,*7H/8,,bondsba01
61,Mickey Brantley,27,SEA,AL,0.8,149,614,577,76,152,25,4,15,56,18,7,26,64,0.263,0.296,0.399,0.694,90,0.32,87,230,12,2,5,4,0,*78/9HD,,brantmi01
62,Roberto Alomar#,20,SDP,NL,4.4,143,611,545,84,145,24,6,9,41,24,6,47,83,0.266,0.328,0.382,0.709,105,0.338,108,208,15,3,16,0,5,*4/H,ROY-5,alomaro01
63,Scott Fletcher,29,TEX,AL,4.1,140,609,515,59,142,19,4,0,47,8,5,62,34,0.276,0.364,0.328,0.692,94,0.334,101,169,13,12,15,5,1,*6/H,,fletcsc01
64,Carney Lansford,31,OAK,AL,3,150,607,556,80,155,20,2,7,57,29,8,35,35,0.279,0.327,0.36,0.687,95,0.331,100,200,17,7,5,4,4,*5/3H4D,AS,lansfca01
65,Ozzie Guillén*,24,CHW,AL,3.4,156,606,566,58,148,16,7,0,39,25,13,25,40,0.261,0.294,0.314,0.608,71,0.288,69,178,14,2,10,3,3,*6,AS,guilloz01
66,Brook Jacoby,28,CLE,AL,0.5,152,606,552,59,133,25,0,9,49,2,3,48,101,0.241,0.3,0.335,0.635,77,0.295,74,185,12,1,0,5,2,*5/H,,jacobbr01
67,Chris James,25,PHI,NL,0.7,150,605,566,57,137,24,1,19,66,7,4,31,73,0.242,0.283,0.389,0.671,91,0.313,91,220,15,3,0,5,2,*958/7H,,jamesch02
68,Willie McGee#,29,STL,NL,2.8,137,600,562,73,164,24,6,3,50,41,6,32,84,0.292,0.329,0.372,0.701,101,0.351,110,209,10,1,2,3,5,*8/H,AS,mcgeewi01
69,Kevin McReynolds,28,NYM,NL,4.5,147,600,552,82,159,30,2,27,99,21,0,38,56,0.288,0.336,0.496,0.832,142,0.392,150,274,6,4,1,5,3,*7/H8,MVP-3,mcreyke01
70,Shawon Dunston,25,CHC,NL,1.1,155,599,575,69,143,23,6,9,56,30,9,16,108,0.249,0.271,0.357,0.627,76,0.298,71,205,6,2,4,2,8,*6/H,AS,dunstsh01
71,Rafael Ramírez,30,HOU,NL,1.5,155,597,566,51,156,30,5,6,59,3,2,18,61,0.276,0.298,0.378,0.677,97,0.319,101,214,16,3,4,6,6,*6/H,,ramirra01
72,Mitch Webster#,29,2TM,NL,2.3,151,597,523,69,136,16,8,6,39,22,14,55,87,0.26,0.337,0.356,0.693,96,0.334,105,186,5,8,5,4,2,*897H,,webstmi01
73,Jim Gantner*,35,MIL,AL,2.3,155,596,539,67,149,28,2,0,47,20,8,34,50,0.276,0.322,0.336,0.658,84,0.315,86,181,9,3,18,2,1,*4/H5,,gantnji01
74,Kevin Bass#,29,HOU,NL,2.2,157,595,541,57,138,27,2,14,72,31,6,42,65,0.255,0.314,0.39,0.704,105,0.34,110,211,16,6,3,3,10,*9H,,basske01
