Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Los Angeles Dodgers,43,17,0.717,5.8,3.6,2.3,-0.1,2.2,43-17,0,0-0,0-0,27-13,16-4,21-9,22-8,1-May,5-Jul,30-12,13-5,5-Aug,35-12
2,Tampa Bay Rays,40,20,0.667,4.8,3.8,1,-0.1,0.9,36-24,4,27-13,0-0,0-0,13-7,20-9,20-11,3-Apr,14-5,31-12,8-Sep,21-9,19-11
3,San Diego Padres,37,23,0.617,5.4,4,1.4,0,1.4,38-22,-1,0-0,0-0,24-16,13-7,21-11,16-12,Apr-00,8-Aug,27-13,10-Oct,7-Jun,31-16
4,Minnesota Twins,36,24,0.6,4.5,3.6,0.9,0,0.9,36-24,0,0-0,23-17,0-0,13-7,24-7,17-Dec,1-Mar,5-Sep,27-17,7-Sep,18-12,18-12
5,Oakland Athletics,36,24,0.6,4.6,3.9,0.7,-0.4,0.3,35-25,1,0-0,0-0,26-14,10-Oct,22-10,14-14,1-Jun,6-Jul,25-21,3-Nov,4-Feb,34-20
6,Atlanta Braves,35,25,0.583,5.8,4.8,1,-0.2,0.8,35-25,0,24-16,0-0,0-0,9-Nov,19-11,16-14,3-Feb,6-Nov,27-21,4-Aug,9-Dec,23-16
7,Cleveland Indians,35,25,0.583,4.1,3.5,0.7,0,0.6,35-25,0,0-0,23-17,0-0,8-Dec,18-12,17-13,2-Apr,6-Aug,27-20,5-Aug,16-15,19-10
8,Chicago White Sox,35,25,0.583,5.1,4.1,1,0,1,36-24,-1,0-0,25-15,0-0,10-Oct,18-12,17-13,2-Jan,8-May,21-25,14-0,20-Dec,23-5
9,Chicago Cubs,34,26,0.567,4.4,4,0.4,-0.2,0.3,33-27,1,0-0,22-18,0-0,8-Dec,19-14,15-12,1-Mar,9-Oct,27-22,4-Jul,19-14,15-12
10,New York Yankees,33,27,0.55,5.3,4.5,0.8,-0.1,0.7,34-26,-1,23-17,0-0,0-0,10-Oct,22-9,18-Nov,2-May,7-Jun,26-19,8-Jul,17-Oct,23-10
11,Toronto Blue Jays,32,28,0.533,5,5.2,-0.2,0,-0.1,29-31,3,22-18,0-0,0-0,10-Oct,17-9,15-19,6-May,13-10,20-20,8-Dec,15-Dec,20-13
12,St. Louis Cardinals,30,28,0.517,4.1,3.9,0.2,-0.2,0,30-28,0,0-0,22-18,0-0,10-Aug,14-13,16-15,3-Jan,6-Jul,26-21,7-Apr,15-15,15-13
13,Miami Marlins,31,29,0.517,4.4,5.1,-0.7,0.1,-0.6,26-34,5,21-19,0-0,0-0,10-Oct,15-Nov,20-14,2-Mar,8-Nov,24-17,12-Jul,14-Sep,22-15
14,Cincinnati Reds,31,29,0.517,4.1,4.1,0,-0.2,-0.2,30-30,1,0-0,21-19,0-0,10-Oct,16-13,15-16,Feb-00,8-Jul,24-23,6-Jul,13-17,18-12
15,Houston Astros,29,31,0.483,4.7,4.6,0.1,-0.3,-0.2,30-30,-1,0-0,0-0,19-21,10-Oct,20-8,23-Sep,7-Feb,14-Oct,17-21,10-Dec,13-Apr,25-18
16,San Francisco Giants,29,31,0.483,5,5,0,0.3,0.3,30-30,-1,0-0,0-0,18-22,9-Nov,19-14,17-Oct,3-Feb,8-Aug,15-21,14-10,19-Jul,22-12
17,Milwaukee Brewers,29,31,0.483,4.1,4.4,-0.3,-0.1,-0.4,28-32,1,0-0,19-21,0-0,10-Oct,15-14,14-17,2-Mar,5-Nov,18-24,7-Nov,19-24,7-Oct
18,Philadelphia Phillies,28,32,0.467,5.1,5.2,-0.1,0,-0.1,30-30,-2,21-19,0-0,0-0,13-Jul,19-13,19-Sep,2-Mar,10-Aug,15-23,13-9,13-20,15-12
19,Seattle Mariners,27,33,0.45,4.2,5.1,-0.8,-0.1,-0.9,25-35,2,0-0,0-0,20-20,13-Jul,14-10,13-23,3-Feb,8-Jul,19-21,12-Aug,12-Aug,19-21
20,New York Mets,26,34,0.433,4.8,5.1,-0.4,0,-0.3,28-32,-2,17-23,0-0,0-0,11-Sep,17-Dec,14-17,4-Jan,11-Jun,18-20,14-Aug,14-18,16-Dec
21,Los Angeles Angels,26,34,0.433,4.9,5.4,-0.5,-0.1,-0.6,28-32,-2,0-0,0-0,19-21,13-Jul,16-15,19-Oct,5-Mar,9-Sep,17-24,10-Sep,13-Jul,19-21
22,Kansas City Royals,26,34,0.433,4.1,4.5,-0.4,0.2,-0.2,27-33,-1,0-0,17-23,0-0,11-Sep,15-15,19-Nov,2-Jan,9-Aug,22-27,7-Apr,17-27,7-Sep
23,Colorado Rockies,26,34,0.433,4.6,5.9,-1.3,0.4,-0.9,23-37,3,0-0,0-0,17-23,11-Sep,18-Dec,14-16,2-Jan,8-Sep,16-24,10-Oct,15-Sep,17-19
24,Washington Nationals,26,34,0.433,4.9,5,-0.1,0,-0.2,29-31,-3,17-23,0-0,0-0,11-Sep,15-18,16-Nov,1-Apr,9-Jul,15-28,6-Nov,14-17,17-Dec
25,Baltimore Orioles,25,35,0.417,4.6,4.9,-0.3,0.1,-0.3,28-32,-3,14-26,0-0,0-0,9-Nov,13-20,15-Dec,4-Apr,12-Jul,18-29,6-Jul,26-Nov,14-9
26,Arizona Diamondbacks,25,35,0.417,4.5,4.9,-0.4,0.3,-0.1,27-33,-2,0-0,0-0,14-26,9-Nov,16-14,21-Sep,0-3,9-Sep,20-24,11-May,15-Sep,16-20
27,Boston Red Sox,24,36,0.4,4.9,5.9,-1,0.2,-0.8,25-35,-1,14-26,0-0,0-0,10-Oct,20-Nov,13-16,0-4,9-Apr,17-19,17-Jul,13-26,10-Nov
28,Detroit Tigers,23,35,0.397,4.3,5.5,-1.2,0.3,-0.9,23-35,0,0-0,28-Dec,0-0,7-Nov,15-Dec,20-Nov,2-Jan,9-Jul,16-31,4-Jul,14-27,8-Sep
29,Texas Rangers,22,38,0.367,3.7,5.2,-1.5,-0.1,-1.6,21-39,1,0-0,0-0,16-24,14-Jun,16-14,24-Jun,2-Feb,6-Jul,15-23,15-Jul,13-Apr,18-25
30,Pittsburgh Pirates,19,41,0.317,3.7,5,-1.3,0.1,-1.2,22-38,-3,0-0,16-24,0-0,17-Mar,13-19,22-Jun,5-Jan,15-Aug,17-31,10-Feb,14-30,11-May
