Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Milwaukee Brewers,97,65,0.599,W 1,5,3.9,1.1,0,1,99-63,-2,21-9,31-21,17-15,28-20,52-29,45-36,5-Jul,28-20,68-47,29-18,46-38,51-27,6-Apr,10-Oct,15-15
2,Philadelphia Phillies,96,66,0.593,W 1,4.8,4,0.8,-0.1,0.7,94-68,2,31-21,14-16,20-12,31-17,55-26,41-40,6-Sep,26-21,73-41,23-25,45-35,51-31,5-May,13-7,20-10
3,Toronto Blue Jays,94,68,0.58,W 4,4.9,4.5,0.5,0.1,0.5,88-74,6,29-23,16-15,19-12,30-18,54-27,40-41,4-Oct,27-20,70-52,24-16,49-41,45-27,5-May,8-Dec,17-13
4,New York Yankees,94,68,0.58,W 8,5.2,4.2,1,0,1,97-65,-3,27-25,21-10,20-11,26-22,50-31,44-37,8-Jun,23-22,75-51,19-17,45-44,49-24,1-Sep,15-5,22-8
5,Los Angeles Dodgers,93,69,0.574,W 5,5.1,4.2,0.9,-0.1,0.7,95-67,-2,18-13,19-Dec,36-16,27-21,52-29,41-40,7-Aug,25-24,69-46,24-23,48-37,45-32,2-Aug,15-5,18-12
6,Chicago Cubs,92,70,0.568,W 3,4.9,4,0.9,0,0.9,96-66,-4,15-15,30-22,17-15,30-18,50-31,42-39,5-Jun,25-19,73-47,19-23,38-46,54-24,6-Apr,9-Nov,16-14
7,Seattle Mariners,90,72,0.556,L 3,4.7,4.3,0.4,0,0.4,88-74,2,20-Oct,21-11,34-18,25-23,51-30,39-42,11-Oct,31-22,63-52,27-20,47-43,43-29,3-Jul,16-4,19-11
8,San Diego Padres,90,72,0.556,W 3,4.3,3.8,0.5,-0.1,0.4,90-72,0,20-11,18-13,32-20,20-28,52-29,38-43,4-Aug,30-23,64-49,26-23,43-43,47-29,3-Jul,13-7,16-14
9,Boston Red Sox,89,73,0.549,W 1,4.9,4.2,0.7,0,0.7,92-70,-3,32-20,17-14,14-17,26-22,48-33,41-40,12-Aug,23-27,65-52,24-21,44-43,45-30,4-Jun,9-Nov,17-13
10,Cleveland Guardians,88,74,0.543,W 2,4,4,0,0,0,80-82,8,17-15,36-16,15-15,20-28,45-36,43-38,6-Dec,26-20,66-50,22-24,42-47,46-27,3-Jul,16-4,22-8
11,Houston Astros,87,75,0.537,W 2,4.2,4.1,0.1,-0.1,0.1,83-79,4,16-16,15-15,25-27,31-17,46-35,41-40,7-Aug,27-17,68-61,19-14,43-43,44-32,6-Apr,10-Oct,15-15
12,Detroit Tigers,87,75,0.537,L 1,4.7,4.3,0.4,-0.1,0.4,88-74,-1,19-12,30-22,15-16,23-25,46-35,41-40,8-May,21-12,62-58,25-17,44-43,43-32,8-Feb,14-Jun,21-Sep
13,New York Mets,83,79,0.512,L 1,4.7,4.4,0.3,-0.1,0.3,86-76,-3,25-27,15-16,19-12,24-24,49-32,34-47,7-Jun,23-26,58-57,25-22,40-40,43-39,5-May,13-Jul,18-Dec
14,Cincinnati Reds,83,79,0.512,L 1,4.4,4.2,0.2,0,0.2,85-77,-2,14-18,26-26,17-13,26-22,45-36,38-43,12-Mar,22-22,62-54,21-25,44-42,39-37,3-Jul,8-Dec,15-15
15,Kansas City Royals,82,80,0.506,W 2,4,3.9,0.1,0,0.1,83-79,-1,13-17,26-26,17-15,26-22,43-38,39-42,5-Jul,24-20,62-67,20-13,37-51,45-29,4-Jun,11-Sep,15-15
16,San Francisco Giants,81,81,0.5,W 4,4.4,4.2,0.1,-0.1,0.1,83-79,-2,16-15,17-14,24-28,24-24,42-39,39-42,6-Sep,28-30,64-53,17-28,40-45,41-36,5-May,11-Sep,17-13
17,Texas Rangers,81,81,0.5,L 2,4.2,3.7,0.5,0,0.5,90-72,-9,15-16,16-15,25-27,25-23,48-33,33-48,8-Sep,21-29,64-57,17-24,37-51,44-30,8-Feb,12-Aug,15-15
18,Arizona Diamondbacks,80,82,0.494,L 5,4.9,4.8,0,-0.1,0,82-80,-2,15-15,14-18,26-26,25-23,43-38,37-44,12-Jul,21-28,59-57,21-25,48-53,32-29,7-Mar,11-Sep,16-14
19,Miami Marlins,79,83,0.488,W 1,4.4,4.9,-0.5,0,-0.6,72-90,7,23-29,16-16,14-16,26-22,38-43,41-40,4-Oct,22-22,58-57,21-26,43-47,36-36,3-Jul,14-6,17-13
20,St. Louis Cardinals,78,84,0.481,L 4,4.3,4.7,-0.4,0.1,-0.3,74-88,4,16-15,24-28,16-15,22-26,44-37,34-47,8-Apr,26-21,54-62,24-22,45-56,33-28,6-Apr,12-Aug,13-17
21,Tampa Bay Rays,77,85,0.475,L 4,4.4,4.2,0.2,0.1,0.3,84-78,-7,20-32,13-18,16-15,28-20,41-40,36-45,7-May,22-29,57-58,20-27,44-57,33-28,7-Mar,14-Jun,13-17
22,Athletics,76,86,0.469,L 2,4.5,5,-0.5,0,-0.5,73-89,3,14-17,19-12,23-29,20-28,36-45,40-41,5-Sep,20-21,55-68,21-18,45-58,31-28,5-May,9-Nov,16-14
23,Atlanta Braves,76,86,0.469,W 1,4.5,4.5,-0.1,0,-0.1,80-82,-4,30-22,15-16,22-Sep,22-26,39-42,37-44,8-Aug,21-35,53-67,23-19,39-55,37-31,3-Jul,8-Dec,16-14
